               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069488,            0.058755,             0.11378,           0.0075855,             0.33432,            0.024432,            0.013053,            0.042068,            0.033253,             0.10088,            0.070068,           0.0033258,           0.0033258
                   1,            0.051532,            0.053402,            0.097362,             0.79616,            0.070813,            0.065497,            0.031076,            0.041421,            0.030376,            0.089873,            0.039936,           0.0065273,           0.0065273
                   2,            0.051011,            0.050618,            0.083606,             0.78574,             0.15647,             0.16134,            0.077835,            0.040014,            0.030299,            0.074353,           0.0096722,           0.0095968,           0.0095968
                   3,            0.048808,            0.050538,            0.066722,             0.79417,             0.18309,             0.20939,             0.10139,            0.039028,             0.03181,             0.06317,            0.009406,            0.009406,            0.009406
                   4,            0.046375,            0.049058,              0.0532,             0.77671,             0.25981,             0.28579,             0.15158,            0.038873,            0.029957,            0.049341,            0.009406,            0.009406,            0.009406
                   5,            0.045225,            0.048689,            0.046654,             0.77119,             0.29459,             0.31757,             0.16535,             0.03773,            0.029903,            0.043357,            0.009208,            0.009208,            0.009208
                   6,            0.043874,            0.048535,            0.040071,             0.76178,             0.30943,              0.3514,             0.19014,            0.038228,            0.029301,            0.041437,             0.00901,             0.00901,             0.00901
                   7,            0.043287,            0.048144,            0.036961,             0.72681,             0.35234,              0.3805,             0.20839,            0.037003,            0.029036,            0.035066,            0.008812,            0.008812,            0.008812
                   8,            0.042363,            0.047666,            0.034167,             0.72316,             0.36428,             0.39336,             0.21562,            0.036392,            0.029123,            0.034406,            0.008614,            0.008614,            0.008614
                   9,            0.041694,            0.047187,              0.0317,             0.73103,             0.36978,             0.41767,             0.23833,            0.034957,            0.028575,            0.031928,            0.008416,            0.008416,            0.008416
                  10,            0.041348,            0.046619,            0.029844,             0.74934,             0.40038,              0.4397,             0.24735,            0.034643,            0.028174,            0.029323,            0.008218,            0.008218,            0.008218
                  11,            0.040356,            0.045941,            0.027491,             0.77936,              0.3922,             0.44816,             0.25686,            0.034239,            0.028606,            0.029482,             0.00802,             0.00802,             0.00802
                  12,            0.040036,            0.046468,            0.026418,             0.71675,               0.424,             0.44845,             0.26029,            0.034262,            0.027939,            0.028309,            0.007822,            0.007822,            0.007822
                  13,            0.039356,             0.04578,            0.025146,             0.72772,             0.43307,             0.47066,              0.2745,            0.033705,            0.027611,            0.025879,            0.007624,            0.007624,            0.007624
                  14,            0.039185,            0.045812,            0.024102,             0.74806,             0.44062,             0.47642,             0.28276,            0.033221,            0.027364,            0.024614,            0.007426,            0.007426,            0.007426
                  15,            0.038534,            0.045133,             0.02279,             0.71078,             0.44804,             0.47331,             0.27963,            0.033083,            0.027403,            0.024036,            0.007228,            0.007228,            0.007228
